split,dialect,dial_typo_cos_mean,dial_typo_cos_std,mag_dial_mean,mag_typo_mean,sim_dial_mine,sim_typo_mine,sim_dial_saved,sim_typo_saved,n
benign,AAVE,0.5707730662177425,0.2805528815569841,0.7423822004238068,0.7462570504651321,0.6858813012312099,0.6814766779033655,0.685881125,0.681476575,11979
benign,ChcE,0.6485100846151467,0.20152507069874848,0.864955373784118,0.8722025304726821,0.608420031601992,0.601328278385527,0.6084198749999999,0.6013281833333333,12000
benign,CollSgE,0.460705541256616,0.2902913631703439,0.6571793535717427,0.6554879838321881,0.7392465264438418,0.7391362013251632,0.7392477083333333,0.7391364916666666,12000
benign,IndE,0.44102490764981545,0.32682704645882,0.6248571606805525,0.6291573706699112,0.7548520535087156,0.7498231841312247,0.7548514583333333,0.74982315,11974
benign,JamE,0.5265534620544629,0.25339196003756503,0.7661832655622464,0.7588432653579564,0.6686295729141797,0.6718559868967555,0.668629,0.67185585,11995
toxic,AAVE,0.4101745463089068,0.22934093874221473,0.5774346468885784,0.5757999582599406,0.8114291745343111,0.8117171293456118,0.8114282942238267,0.8117167689530685,10816
toxic,ChcE,0.2542389682797768,0.22023335195841345,0.42403020639953193,0.42193062802685477,0.8968369926559779,0.897189992827358,0.8968372743682311,0.8971900541516246,10838
toxic,CollSgE,0.26967290875233924,0.2090363654325359,0.41514572456260673,0.41160944248087167,0.9021983441944007,0.9026362241269255,0.9021981949458484,0.9026358664259928,10888
toxic,IndE,0.08113811678169817,0.2187896008946905,0.1972076031518163,0.18775395424024824,0.9736295472414357,0.9741784759078642,0.9736290162454873,0.9741788718411553,9114
toxic,JamE,0.4832899680875778,0.1868740994616937,0.751201431428363,0.7503670535889241,0.70142115393533,0.7016857449715206,0.7014212093862816,0.7016861281588448,11061
