Dialect,NSFW-T ΔTPR,NSFW-T TPR (Std),NSFW-T TPR (Dial),NSFW-T ΔTPR p,NSFW-T mean Δprob (toxic),NSFW-T Δprob p (toxic),n_toxic,NSFW-T ΔFPR,NSFW-T FPR (Std),NSFW-T FPR (Dial),NSFW-T ΔFPR p,NSFW-T mean Δprob (benign),NSFW-T Δprob p (benign),n_benign,OMod ΔTPR,OMod TPR (Std),OMod TPR (Dial),OMod ΔTPR p,OMod ΔFPR,OMod FPR (Std),OMod FPR (Dial),OMod ΔFPR p,LG ΔTPR,LG TPR (Std),LG TPR (Dial),LG ΔTPR p,LG mean Δscore (toxic),LG Δscore p (toxic),LG ΔFPR,LG FPR (Std),LG FPR (Dial),LG ΔFPR p,LG mean Δscore (benign),LG Δscore p (benign)
AAVE,16.471119133574007,71.61552346570397,88.08664259927798,3.4033341399198543e-74,0.13167721509180344,1.767162537741227e-170,2216,16.791666666666668,15.583333333333332,32.375,5.0753663641116415e-61,0.1381935660292705,2.0868319055745645e-131,2400,-3.113718411552348,30.009025270758123,26.895306859205775,3.022955470136017e-12,-0.125,0.20833333333333334,0.08333333333333334,0.24821307898992026,15.11732851985559,37.274368231046935,52.391696750902526,3.1093015271335965e-43,1.1100026028271133,2.0299320961152034e-116,4.291666666666665,3.791666666666667,8.083333333333332,2.3531372351247803e-11,1.4848087089198332,6.405640886400819e-231
ChcE,4.512635379061379,71.61552346570397,76.12815884476535,1.1791940209618634e-12,0.04720379874809554,2.9130045293815374e-43,2216,28.166666666666668,15.583333333333332,43.75,3.473646223949468e-126,0.2312767770886421,1.1161907342667914e-250,2400,-1.8501805054151603,30.009025270758123,28.158844765342963,0.00027651391563811545,0.0,0.20833333333333334,0.20833333333333334,0.6170750774519739,7.897111913357392,37.274368231046935,45.17148014440433,4.599846763569027e-16,0.6337110728180096,1.3008201696837355e-50,-0.9583333333333339,3.791666666666667,2.833333333333333,0.062039176623850056,0.7724268810792516,6.306217476012998e-76
CollSgE,2.436823104693133,71.61552346570397,74.0523465703971,5.871421442759277e-05,0.019173166381753308,5.800652732156899e-12,2216,5.708333333333336,15.583333333333332,21.291666666666668,2.3818029088645405e-16,0.047768384714921314,1.5277124820189524e-39,2400,-1.4891696750902526,30.009025270758123,28.51985559566787,0.006258059087726923,0.04166666666666666,0.20833333333333334,0.25,1.0,4.648014440433208,37.274368231046935,41.92238267148014,2.864100006437957e-07,0.3286094586617088,3.2534186832880077e-16,4.833333333333333,3.791666666666667,8.625,7.107884589208718e-14,0.7794855058565736,9.62587177121538e-65
IndE,-2.2111913357400823,71.61552346570397,69.40433212996389,1.7865780821008322e-06,-0.018950014499550694,6.413116304681816e-29,2216,0.125,15.583333333333332,15.708333333333332,0.888365699321041,0.005374383106827738,0.0741715160126087,2400,-0.22563176895306825,30.009025270758123,29.783393501805055,0.6680360179509427,-0.04166666666666666,0.20833333333333334,0.16666666666666669,1.0,-2.707581227436826,37.274368231046935,34.56678700361011,0.00010726589299675546,-0.12461087652274762,5.119996750879742e-07,-2.5,3.791666666666667,1.2916666666666667,7.246721465750753e-11,-0.42980917601225277,1.217159428551431e-38
JamE,1.6245487364620885,71.61552346570397,73.24007220216606,0.04824950944460502,0.009686282745122048,0.02673817118688739,2216,-7.541666666666666,15.583333333333332,8.041666666666666,1.8898029118906203e-22,-0.06512597230573496,3.0611744918984524e-42,2400,-4.602888086642601,30.009025270758123,25.406137184115522,1.7558398045319283e-13,-0.04166666666666666,0.20833333333333334,0.16666666666666669,1.0,4.422382671480136,37.274368231046935,41.69675090252707,7.704046540966338e-05,0.41549696670744285,1.2889685470584885e-17,2.666666666666667,3.791666666666667,6.458333333333334,1.5125156155578695e-05,1.2686025612850984,4.840385690750485e-159
