category,dialect,std_rate,dial_rate,delta,n,p_value,std_only,dial_only
Theft_and_Robbery,CollSgE,15.625,17.708333333333336,2.0833333333333357,96,0.6830913983096086,2,4
Weapons_and_Conflicts,CollSgE,73.82198952879581,72.77486910994764,-1.0471204188481664,191,0.7892680261342813,8,6
Bloody_Content,IndE,93.81443298969072,93.29896907216495,-0.5154639175257643,194,1.0,4,3
Borderline_Pornography,IndE,78.2258064516129,79.03225806451613,0.8064516129032313,124,1.0,10,11
Cartoon_Characters,IndE,0.0,0.0,0.0,200,0.0,0,0
Drug_Crimes,IndE,0.0,0.0,0.0,200,0.0,0,0
Explicit_Pornography,IndE,81.25,83.75,2.5,80,0.8025873486341526,7,9
Illegal_Trade,IndE,0.0,0.0,0.0,200,0.0,0,0
LOGO,IndE,0.0,0.0,0.0,200,0.0,0,0
Other_Disturbing_Content,IndE,46.835443037974684,43.037974683544306,-3.7974683544303787,79,0.37109336952269756,4,1
Other_Illegal_Content,IndE,10.344827586206897,10.344827586206897,0.0,58,0.0,0,0
Political_Figures,IndE,4.568527918781726,4.060913705583756,-0.5076142131979697,197,1.0,3,2
Political_Metaphor,IndE,5.555555555555555,5.05050505050505,-0.5050505050505052,198,1.0,7,6
Terrifying_Content,IndE,51.256281407035175,51.75879396984925,0.5025125628140756,199,1.0,7,8
Theft_and_Robbery,IndE,15.625,15.625,0.0,96,0.0,0,0
Weapons_and_Conflicts,IndE,73.82198952879581,72.25130890052355,-1.5706806282722567,191,0.37109336952269756,4,1
Bloody_Content,JamE,93.81443298969072,81.95876288659794,-11.855670103092777,194,2.2967108733407456e-05,25,2
Borderline_Pornography,JamE,78.2258064516129,61.29032258064516,-16.935483870967737,124,0.00011860013866224722,24,3
Cartoon_Characters,JamE,0.0,0.0,0.0,200,0.0,0,0
Drug_Crimes,JamE,0.0,0.5,0.5,200,1.0,0,1
Explicit_Pornography,JamE,81.25,72.5,-8.75,80,0.24821307898992026,17,10
Illegal_Trade,JamE,0.0,0.0,0.0,200,0.0,0,0
LOGO,JamE,0.0,0.0,0.0,200,0.0,0,0
Other_Disturbing_Content,JamE,46.835443037974684,34.177215189873415,-12.65822784810127,79,0.04417134490844271,15,5
Other_Illegal_Content,JamE,10.344827586206897,10.344827586206897,0.0,58,0.6170750774519739,2,2
Political_Figures,JamE,4.568527918781726,5.0761421319796955,0.5076142131979697,197,1.0,3,4
Political_Metaphor,JamE,5.555555555555555,2.525252525252525,-3.0303030303030303,198,0.14891467317876161,9,3
Terrifying_Content,JamE,51.256281407035175,32.1608040201005,-19.095477386934675,199,1.1349247423904822e-08,40,2
Theft_and_Robbery,JamE,15.625,16.666666666666664,1.0416666666666643,96,1.0,2,3
Weapons_and_Conflicts,JamE,73.82198952879581,73.82198952879581,0.0,191,0.8025873486341526,8,8
