category,dialect,std_rate,dial_rate,delta,n,p_value,std_only,dial_only
Borderline_Pornography,CollSgE,47.58064516129033,47.58064516129033,0.0,124,0.8311704095417624,11,11
Cartoon_Characters,CollSgE,14.000000000000002,14.000000000000002,0.0,200,0.8501067391385259,14,14
Drug_Crimes,CollSgE,66.0,66.0,0.0,200,0.8801684549067255,22,22
Explicit_Pornography,CollSgE,48.75,47.5,-1.25,80,1.0,5,4
Illegal_Trade,CollSgE,16.5,36.5,20.0,200,1.8108397774948322e-08,4,44
LOGO,CollSgE,7.5,11.0,3.5,200,0.12133525035848208,4,11
Other_Disturbing_Content,CollSgE,53.16455696202531,62.0253164556962,8.86075949367089,79,0.19043026382552042,7,14
Other_Illegal_Content,CollSgE,34.48275862068966,43.103448275862064,8.620689655172406,58,0.18242243945173198,2,7
Political_Figures,CollSgE,16.751269035532996,22.84263959390863,6.091370558375633,197,0.03763531378731436,8,20
Political_Metaphor,CollSgE,5.555555555555555,10.1010101010101,4.545454545454545,198,0.0952928380234566,7,16
Terrifying_Content,CollSgE,70.85427135678391,82.41206030150754,11.557788944723626,199,0.0005907573118657002,9,32
Theft_and_Robbery,CollSgE,26.041666666666668,26.041666666666668,0.0,96,0.8311704095417624,11,11
Weapons_and_Conflicts,CollSgE,59.16230366492147,56.02094240837696,-3.1413612565445064,191,0.4404006981390033,24,18
Bloody_Content,IndE,69.58762886597938,71.1340206185567,1.5463917525773212,194,0.6766573217164242,10,13
Borderline_Pornography,IndE,47.58064516129033,42.74193548387097,-4.838709677419359,124,0.07709987174354202,7,1
Cartoon_Characters,IndE,14.000000000000002,10.0,-4.000000000000002,200,0.08011831372763421,12,4
Drug_Crimes,IndE,66.0,57.49999999999999,-8.500000000000007,200,0.010405619868873605,28,11
Explicit_Pornography,IndE,48.75,45.0,-3.75,80,0.5049850750938457,6,3
Illegal_Trade,IndE,16.5,12.0,-4.5,200,0.10959858339911568,17,8
LOGO,IndE,7.5,8.0,0.5,200,1.0,4,5
Other_Disturbing_Content,IndE,53.16455696202531,50.63291139240506,-2.5316455696202453,79,0.7236736098317629,5,3
Other_Illegal_Content,IndE,34.48275862068966,34.48275862068966,0.0,58,0.7236736098317629,4,4
Political_Figures,IndE,16.751269035532996,14.720812182741117,-2.030456852791879,197,0.2888443663464818,6,2
Political_Metaphor,IndE,5.555555555555555,5.05050505050505,-0.5050505050505052,198,1.0,6,5
Terrifying_Content,IndE,70.85427135678391,66.33165829145729,-4.522613065326624,199,0.08085559837005234,15,6
Theft_and_Robbery,IndE,26.041666666666668,22.916666666666664,-3.1250000000000036,96,0.6463551955394902,11,8
Weapons_and_Conflicts,IndE,59.16230366492147,58.1151832460733,-1.0471204188481664,191,0.8501067391385259,15,13
Bloody_Content,JamE,69.58762886597938,70.61855670103093,1.0309278350515427,194,0.8917558535067943,26,28
Borderline_Pornography,JamE,47.58064516129033,41.935483870967744,-5.645161290322584,124,0.23013934044341314,16,9
Cartoon_Characters,JamE,14.000000000000002,18.0,3.9999999999999982,200,0.28008721081149435,17,25
Drug_Crimes,JamE,66.0,67.5,1.5,200,0.8219655979326043,38,41
Explicit_Pornography,JamE,48.75,50.0,1.25,80,1.0,11,12
Illegal_Trade,JamE,16.5,39.0,22.5,200,1.0140670844453472e-06,18,63
LOGO,JamE,7.5,9.5,2.0,200,0.5224312849615643,9,13
Other_Disturbing_Content,JamE,53.16455696202531,56.9620253164557,3.797468354430393,79,0.6891565167793516,11,14
Other_Illegal_Content,JamE,34.48275862068966,41.37931034482759,6.896551724137929,58,0.47950012218695337,7,11
Political_Figures,JamE,16.751269035532996,26.39593908629442,9.644670050761423,197,0.0072903580915356595,13,32
Political_Metaphor,JamE,5.555555555555555,15.151515151515152,9.595959595959597,198,0.001225424070670712,6,25
Terrifying_Content,JamE,70.85427135678391,73.86934673366834,3.0150753768844254,199,0.49624247444426284,24,30
Theft_and_Robbery,JamE,26.041666666666668,31.25,5.208333333333332,96,0.5107977981738965,16,21
Weapons_and_Conflicts,JamE,59.16230366492147,51.832460732984295,-7.329842931937172,191,0.10955657678268615,40,26
